batter,pressure_score,impact_score,batsman_runs,clutch_index
AT Carey,3.3448275862068964,1.706896551724138,32,8.420689655172414
RJ Peterson,2.21875,2.734375,32,8.381250000000001
Yudhvir Singh,3.25,6.6875,22,8.375
T Taibu,1.5,3.923076923076923,31,8.36923076923077
D Salunkhe,2.5416666666666665,1.8333333333333333,33,8.350000000000001
L Ronchi,0.7837837837837838,3.0135135135135136,34,8.31891891891892
B Sumanth,2.473684210526316,0.8026315789473685,35,8.310526315789474
Basil Thampi,3.027027027027027,1.135135135135135,32,8.064864864864866
Auqib Nabi,3.0,10.0,14,8.0
AB Dinda,3.36,3.6,26,7.984
PJ Sangwan,3.1914893617021276,3.4893617021276597,26,7.872340425531915
NL McCullum,2.869565217391304,3.5217391304347827,26,7.756521739130435
NS Naik,1.9056603773584906,1.8113207547169812,31,7.686792452830189
Akshat Raghuwanshi,0.4444444444444444,4.166666666666667,29,7.644444444444446
J Syed Mohammad,2.2962962962962963,2.314814814814815,29,7.644444444444446
ER Dwivedi,2.4,4.533333333333333,24,7.573333333333334
SB Jakati,3.5,1.3166666666666667,28,7.526666666666667
Mohsin Khan,3.4838709677419355,2.693548387096774,25,7.470967741935484
A Choudhary,3.4,2.675,25,7.43
KC Cariappa,2.5238095238095237,4.023809523809524,24,7.419047619047619
AJ Turner,2.5806451612903225,3.903225806451613,24,7.393548387096775
VH Zol,0.6538461538461539,3.269230769230769,29,7.36923076923077
I Udana,3.909090909090909,6.909090909090909,15,7.327272727272727
S Sriram,0.5,2.289473684210526,31,7.315789473684211
AS Rajpoot,3.4634146341463414,1.6585365853658536,26,7.248780487804878
AF Milne,2.870967741935484,3.7096774193548385,23,7.232258064516129
M Muralitharan,3.9,4.05,20,7.18
Sanvir Singh,2.5454545454545454,2.7045454545454546,25,7.1
KK Ahmed,4.888888888888889,11.777777777777779,2,7.066666666666667
JM Kemp,1.64,2.74,26,6.952
Harmeet Singh,3.75,4.541666666666667,18,6.916666666666667
Kumar Kushagra,1.0476190476190477,5.738095238095238,21,6.914285714285715
R Sai Kishore,3.8125,4.46875,18,6.9125
VS Yeligati,4.5,11.75,2,6.9
SA Abbott,3.2222222222222223,3.0,22,6.888888888888889
MA Khote,2.5454545454545454,2.6363636363636362,24,6.872727272727273
AS Joseph,3.25,0.421875,27,6.86875
Saurav Chauhan,3.375,4.6875,18,6.825
SW Tait,2.6153846153846154,2.9038461538461537,23,6.807692307692308
Umran Malik,3.5625,1.9375,23,6.800000000000001
CV Varun,3.4901960784313726,0.49019607843137253,26,6.792156862745099
