batter,batsman_runs,impact_score,pressure_score,momentum,is_wicket,player_rating
DJ Mitchell,351,2.708029197080292,0.7992700729927007,1.0912408759124088,13,123.90510948905109
R Bhatia,342,3.086206896551724,2.3655172413793104,0.7275862068965517,29,121.0901724137931
P Kumar,340,2.6424148606811144,3.136222910216718,0.5975232198142415,34,120.40735294117646
SN Thakur,339,3.356060606060606,2.4431818181818183,0.8295454545454546,28,120.1435606060606
AP Tare,339,3.450877192982456,0.8771929824561403,0.8596491228070176,24,119.86008771929824
RN ten Doeschate,326,2.7247899159663866,2.23109243697479,1.0630252100840336,17,115.44002100840335
JEC Franklin,327,1.9255663430420713,1.103559870550162,0.9288025889967637,11,115.33786407766989
Anuj Rawat,318,2.2934782608695654,1.4057971014492754,1.0,14,112.35452898550724
JO Holder,317,2.797348484848485,2.553030303030303,0.8068181818181818,24,112.32130681818181
Aniket Verma,315,3.324390243902439,1.6195121951219513,1.2634146341463415,15,111.65768292682927
R Vinay Kumar,310,2.36159169550173,2.9930795847750864,0.7197231833910035,26,109.83295847750864
Lalit Yadav,305,2.1129568106312293,1.3056478405315615,0.8538205980066446,15,107.71013289036544
DB Das,304,2.0243445692883895,1.6142322097378277,0.9775280898876404,12,107.42443820224719
C de Grandhomme,303,2.6222707423580784,2.0,1.056768558951965,15,107.31692139737991
LA Pomersbach,302,2.3685258964143427,1.0637450199203187,1.095617529880478,11,106.72400398406373
Ramandeep Singh,299,3.1132075471698113,1.778301886792453,1.1037735849056605,16,106.00471698113206
UBT Chand,300,2.6353503184713376,0.7802547770700637,0.7229299363057324,20,105.95947452229301
DJG Sammy,295,2.4163346613545817,1.6812749003984064,0.9641434262948207,15,104.3831673306773
SP Goswami,293,2.6726384364820848,0.7752442996742671,0.6905537459283387,20,103.51131921824104
A Manohar,292,2.882716049382716,1.7489711934156378,0.8518518518518519,19,103.44084362139917
Y Nagar,285,1.9907749077490775,1.9409594095940959,0.8634686346863468,15,100.80857933579335
GH Vihari,284,2.219033232628399,1.1570996978851964,0.6132930513595166,20,100.30883685800603
JC Archer,281,3.174757281553398,2.8398058252427183,0.9271844660194175,21,99.89708737864078
VVS Laxman,282,2.736162361623616,0.6014760147601476,0.7970479704797048,16,99.66374538745387
HV Patel,280,3.342,2.676,0.584,30,99.4875
A Ashish Reddy,280,2.704081632653061,2.704081632653061,1.086734693877551,15,99.43418367346939
B Chipli,280,2.615234375,1.17578125,0.828125,16,99.05458984375001
P Nissanka,278,3.4722222222222223,0.4666666666666667,1.3111111111111111,10,98.52361111111111
MJ Lumb,278,3.1085858585858586,0.5202020202020202,1.2474747474747474,10,98.43068181818181
PBB Rajapaksa,277,3.281094527363184,0.5572139303482587,1.164179104477612,12,98.11455223880594
PK Garg,273,3.0870445344129553,0.9878542510121457,0.7854251012145749,19,96.67641700404857
MJ Guptill,271,3.3045685279187818,0.5634517766497462,1.0964467005076142,12,96.00812182741116
R Sathish,270,2.4004237288135593,2.0211864406779663,0.8813559322033898,16,95.68061440677965
R Shepherd,268,3.1180124223602483,2.484472049689441,1.3975155279503106,12,95.35590062111802
Atharva Taide,260,3.0691489361702127,0.40425531914893614,1.2340425531914894,9,92.09494680851064
M Kaif,259,2.5271317829457365,1.058139534883721,0.7751937984496124,16,91.64844961240308
K Rabada,250,2.1639676113360324,2.554655870445344,0.7327935222672065,19,88.69848178137651
K Gowtham,247,3.981132075471698,2.358490566037736,1.0817610062893082,18,88.13333333333333
Harpreet Brar,244,1.8738317757009346,2.710280373831776,0.9345794392523364,13,86.59742990654203
D Ferreira,242,3.0436241610738257,1.8053691275167785,1.3691275167785235,9,86.0958053691275
SM Katich,241,2.832460732984293,0.7382198952879581,1.068062827225131,10,85.4193717277487
BCJ Cutting,238,2.791095890410959,3.0753424657534247,1.3424657534246576,11,84.88133561643836
MD Mishra,237,3.007042253521127,0.8450704225352113,0.8403755868544601,15,84.0388497652582
FH Allen,228,4.548672566371682,0.49557522123893805,1.7345132743362832,8,81.38318584070795
Mohammad Nabi,221,3.6751592356687897,2.286624203821656,0.9426751592356688,17,78.91464968152866
K Goel,218,2.3410041841004183,0.9832635983263598,0.6861924686192469,14,77.21914225941423
AA Jhunjhunwala,217,2.4724770642201834,1.2522935779816513,0.7568807339449541,14,76.96995412844035
SB Dubey,210,2.9661654135338344,2.18796992481203,1.300751879699248,9,74.9392857142857
R Dhawan,210,1.675531914893617,2.6595744680851063,0.8882978723404256,10,74.62845744680851
Kuldeep Yadav,210,1.1064638783269962,3.0342205323193916,0.6045627376425855,15,74.50437262357416
UT Yadav,208,2.2393364928909953,3.4549763033175354,0.5545023696682464,21,74.1617298578199
CA Ingram,205,2.7049180327868854,1.2295081967213115,0.8415300546448088,12,72.84043715846995
PD Collingwood,203,1.9245283018867925,1.2389937106918238,1.2138364779874213,4,72.02169811320755
JD Unadkat,201,2.2485549132947975,3.0346820809248554,0.8265895953757225,14,71.68439306358381
KS Bharat,199,2.431547619047619,0.7738095238095238,1.0357142857142858,7,70.61979166666664
SK Warne,198,2.3036529680365296,2.442922374429224,0.5251141552511416,19,70.46952054794521
SP Fleming,196,2.7660818713450293,0.5380116959064327,0.9590643274853801,9,69.5909356725146
AS Raut,194,2.104651162790698,2.372093023255814,0.8662790697674418,11,69.07383720930231
BJ Rohrer,193,2.5993150684931505,1.1643835616438356,1.1643835616438356,7,68.6655821917808
Salman Butt,193,2.4040697674418605,0.5930232558139535,1.0232558139534884,7,68.47427325581394
YV Takawale,192,2.273224043715847,0.7868852459016393,0.912568306010929,8,68.10819672131146
M Jansen,190,2.2625698324022347,2.8491620111731844,0.7653631284916201,15,67.78854748603352
HC Brook,190,2.6949685534591197,1.0251572327044025,0.9874213836477987,9,67.57625786163523
Bipul Sharma,187,1.967741935483871,3.0080645161290325,1.2903225806451613,6,66.80161290322582
SD Hope,183,3.432,0.728,1.168,8,65.2872
MS Wade,183,2.954054054054054,0.572972972972973,0.8108108108108109,13,65.06527027027026
CR Brathwaite,181,3.8291666666666666,2.7,1.0666666666666667,14,65.060625
FY Fazal,183,2.2905027932960893,1.0,0.9050279329608939,9,65.0036312849162
Sikandar Raza,182,2.5104895104895104,1.2447552447552448,1.0909090909090908,7,64.79475524475524
AC Voges,181,2.1853146853146854,1.5244755244755244,1.118881118881119,6,64.425
S Gopal,180,2.239884393063584,2.398843930635838,0.6994219653179191,13,64.17962427745664
Urvil Patel,178,5.146341463414634,0.4878048780487805,1.7804878048780488,7,64.04024390243902
AB Agarkar,179,1.80625,2.24375,0.95625,8,63.74156249999999
MF Maharoof,177,2.8266129032258065,2.661290322580645,1.0564516129032258,10,63.40020161290322
C Munro,177,3.0625,0.6875,0.9722222222222222,9,63.04756944444444
Kartik Sharma,173,2.2062937062937062,1.3146853146853146,1.020979020979021,6,61.56870629370629
DH Yagnik,170,2.323943661971831,2.112676056338028,1.0,9,60.70352112676056
CM Gautam,169,2.3354430379746836,1.3860759493670887,0.9746835443037974,9,60.20601265822784
DW Steyn,167,3.1564417177914113,3.5092024539877302,0.4233128834355828,22,60.02561349693251
MG Johnson,167,1.9732142857142858,3.2023809523809526,0.6726190476190477,14,59.71830357142857
MN van Wyk,167,1.7740740740740741,1.2740740740740741,1.1851851851851851,3,59.38537037037036
PA Reddy,164,2.6706586826347305,0.5988023952095808,0.7305389221556886,10,58.33353293413173
N Jagadeesan,162,2.6,0.8387096774193549,0.8387096774193549,9,57.68548387096773
MN Samuels,161,2.6810344827586206,0.8620689655172413,0.6551724137931034,12,57.32370689655172
RE van der Merwe,159,2.954861111111111,1.5694444444444444,0.7638888888888888,12,56.855381944444446
R McLaren,159,1.7219101123595506,1.4831460674157304,0.7415730337078652,8,56.5254213483146
V Nigam,157,3.1684782608695654,2.0434782608695654,1.4456521739130435,6,56.439945652173904
MD Choudhary,156,2.0871559633027523,2.4128440366972477,1.238532110091743,5,55.85206422018348
MW Short,153,2.8405797101449277,0.5434782608695652,0.9057971014492754,8,54.55
JG Bethell,152,3.5398230088495577,0.49557522123893805,1.0884955752212389,8,54.401769911504424
J Overton,151,2.3877551020408165,2.3979591836734695,1.3877551020408163,5,54.20408163265305
D Wiese,148,2.2095238095238097,2.6666666666666665,1.2190476190476192,6,53.1295238095238
AD Hales,148,2.8823529411764706,0.48739495798319327,1.0252100840336134,6,52.82310924369747
SM Pollock,147,2.814655172413793,1.6206896551724137,0.9827586206896551,8,52.67435344827586
S Vidyut,145,3.3130434782608695,0.6347826086956522,1.008695652173913,8,51.90695652173913
Sachin Baby,144,2.7398373983739837,2.097560975609756,0.8373983739837398,10,51.671951219512195
N Saini,140,3.0104895104895104,0.7622377622377622,0.6293706293706294,11,50.03094405594406
Anmolpreet Singh,139,3.4017094017094016,0.6068376068376068,0.8205128205128205,9,49.78589743589744
