batter,batsman_runs,impact_score,death_score
RR Raje,20,1.3333333333333333,12.533333333333333
R Sai Kishore,17,5.8076923076923075,12.523076923076923
MN Samuels,19,2.75,12.5
AC Thomas,19,2.5277777777777777,12.411111111111111
Kamran Akmal,20,0.9166666666666666,12.366666666666667
AB Dinda,18,3.3552631578947367,12.142105263157895
Akash Deep,16,6.333333333333333,12.133333333333333
NT Ellis,18,2.764705882352941,11.905882352941175
RJ Peterson,18,2.7058823529411766,11.88235294117647
I Udana,15,6.909090909090909,11.763636363636364
P Sahu,19,0.5384615384615384,11.615384615384615
AD Nath,16,4.916666666666667,11.566666666666666
M Tiwari,18,1.8125,11.524999999999999
S Kaul,18,1.3870967741935485,11.354838709677418
HR Shokeen,18,1.3529411764705883,11.341176470588234
RD Rickelton,18,1.2,11.28
CJ Ferguson,17,2.588235294117647,11.235294117647058
LA Carseldine,18,0.9545454545454546,11.18181818181818
PP Ojha,16,3.9523809523809526,11.18095238095238
Saurav Chauhan,16,3.8461538461538463,11.138461538461538
Parvez Rasool,17,2.025,11.01
AJ Hosein,18,0.46153846153846156,10.984615384615383
Sanvir Singh,18,0.23333333333333334,10.893333333333333
AF Milne,15,4.526315789473684,10.810526315789474
Vijaykumar Vyshak,16,2.5588235294117645,10.623529411764705
A Mithun,13,6.590909090909091,10.436363636363637
SM Katich,17,0.4230769230769231,10.369230769230768
R Shukla,16,1.85,10.34
KL Nagarkoti,15,3.289473684210526,10.31578947368421
PHKD Mendis,14,4.6,10.24
AUK Pathan,14,4.041666666666667,10.016666666666667
JR Hazlewood,16,0.868421052631579,9.947368421052632
Naveen-ul-Haq,16,0.725,9.889999999999999
AS Joseph,16,0.4318181818181818,9.772727272727272
JL Pattinson,15,1.9230769230769231,9.76923076923077
WA Mota,13,4.892857142857143,9.757142857142856
Yudhvir Singh,1,22.666666666666668,9.666666666666668
Harsh Dubey,13,4.5,9.6
PA Reddy,6,14.75,9.5
KC Cariappa,12,5.153846153846154,9.26153846153846
F Behardien,14,2.0833333333333335,9.233333333333334
JJ van der Wath,14,2.0416666666666665,9.216666666666667
Arjun Tendulkar,13,3.2222222222222223,9.088888888888889
C Nanda,0,22.0,8.8
Mohammad Asif,0,22.0,8.8
A Mukund,0,22.0,8.8
Kumar Kushagra,0,22.0,8.8
S Kaushik,0,22.0,8.8
V Pratap Singh,0,22.0,8.8
DG Nalkande,0,22.0,8.8
SS Cottrell,0,22.0,8.8
S Lamichhane,0,22.0,8.8
S Ladda,0,22.0,8.8
RR Bhatkal,0,22.0,8.8
MA Wood,11,5.444444444444445,8.777777777777779
KW Richardson,12,3.9375,8.774999999999999
XC Bartlett,11,5.166666666666667,8.666666666666666
CK Kapugedera,13,2.111111111111111,8.644444444444444
PN Mankad,14,0.4,8.56
M Theekshana,14,0.38095238095238093,8.552380952380952
Auqib Nabi,10,6.0,8.4
Mustafizur Rahman,13,1.4047619047619047,8.361904761904762
SP Goswami,11,4.266666666666667,8.306666666666667
N Saini,6,11.666666666666666,8.266666666666666
Vishnu Vinod,9,7.142857142857143,8.257142857142856
KJ Abbott,13,1.1428571428571428,8.257142857142856
NS Naik,11,3.84375,8.1375
Mujeeb Ur Rahman,11,3.6666666666666665,8.066666666666666
AA Chavan,11,3.375,7.949999999999999
T Thushara,12,1.736842105263158,7.894736842105263
MA Khote,12,1.5769230769230769,7.83076923076923
T Taibu,9,5.9,7.76
IR Jaggi,12,1.3571428571428572,7.742857142857142
Salman Butt,4,13.25,7.700000000000001
A Zampa,5,11.666666666666666,7.666666666666667
UBT Chand,7,8.5625,7.625
Yashpal Singh,11,2.3,7.52
VY Mahesh,12,0.6666666666666666,7.466666666666666
SW Tait,10,3.5416666666666665,7.416666666666667
DAJ Bracewell,12,0.4444444444444444,7.377777777777777
K Upadhyay,12,0.3333333333333333,7.333333333333333
DNT Zoysa,10,3.3125,7.325
HE van der Dussen,12,0.2,7.279999999999999
SB Wagh,2,15.166666666666666,7.266666666666667
J Theron,10,3.1538461538461537,7.2615384615384615
Sohail Tanvir,12,0.0,7.199999999999999
AR Bawne,12,-0.16666666666666666,7.133333333333333
WG Jacks,11,1.25,7.1
PV Tambe,12,-0.26785714285714285,7.0928571428571425
K Kartikeya,9,3.9545454545454546,6.9818181818181815
M Ntini,11,0.2631578947368421,6.705263157894737
MD Shanaka,9,3.0625,6.625
L Wood,9,3.0,6.6
Shivam Sharma,5,8.833333333333334,6.533333333333333
MG Bracewell,11,-0.20833333333333334,6.516666666666667
VG Arora,9,2.763157894736842,6.505263157894737
JPR Scantlebury-Searles,8,4.25,6.5
CK Langeveldt,1,14.666666666666666,6.466666666666667
TS Mills,6,7.111111111111111,6.444444444444445
AG Murtaza,10,1.0357142857142858,6.414285714285715
Anirudh Singh,9,2.388888888888889,6.355555555555555
R Minz,6,6.625,6.25
S Badree,3,11.0,6.2
Ankit Soni,7,4.722222222222222,6.0888888888888895
PWA Mulder,8,2.875,5.95
Gulbadin Naib,8,2.8125,5.925
KK Ahmed,2,11.777777777777779,5.911111111111111
VS Yeligati,2,11.75,5.9
BB Sran,9,1.2307692307692308,5.892307692307692
CRD Fernando,4,8.5,5.800000000000001
KT Maphaka,8,2.5,5.8
VRV Singh,4,8.333333333333334,5.733333333333334
DR Martyn,4,8.333333333333334,5.733333333333334
M Prasidh Krishna,9,0.75,5.699999999999999
AU Rashid,4,8.166666666666666,5.666666666666666
SMSM Senanayake,9,0.625,5.6499999999999995
Shoaib Malik,2,11.0,5.6000000000000005
PBB Rajapaksa,2,11.0,5.6000000000000005
